destination_code,destination,country,currency,estimated_from_price_eur,price_category,price_basis,price_explanation,primary_trip_type,secondary_trip_type,trip_tags,is_citytrip,is_beach,is_island,is_sunny_escape,is_winter_holiday,is_cultural,is_foodie,is_nature,is_active,is_romantic,is_nightlife,is_family_friendly,best_spring,best_summer,best_autumn,best_winter,best_seasons,temperature_profile,trip_length_short_break,trip_length_week,trip_length_long_week,trip_lengths,notes,agent_summary,data_quality_note,record_status,source_url,tagging_basis
tirana,Tirana,Albania,EUR,115,budget,synthetic_rule_based_estimate_v1,city demand | sun demand | value market,citytrip,cultural,citytrip|sunny_escape|cultural,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; budget pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
innsbruck,Innsbruck,Austria,EUR,175,mid_range,synthetic_rule_based_estimate_v1,winter demand,winter_holiday,active,winter_holiday|nature|active,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,spring|winter,alpine_cold,False,True,True,week|long_week,"Alpine gateway suited to skiing, mountain scenery and winter breaks.","winter holiday; active; best in spring, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
salzburg,Salzburg,Austria,EUR,180,mid_range,synthetic_rule_based_estimate_v1,city demand | winter demand,winter_holiday,active,citytrip|winter_holiday|cultural|active,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,spring|winter,alpine_cold,False,True,True,week|long_week,"Alpine gateway suited to skiing, mountain scenery and winter breaks.","winter holiday; active; best in spring, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
dubrovnik,Dubrovnik,Croatia,EUR,170,mid_range,synthetic_rule_based_estimate_v1,city demand | beach appeal | sun demand | mixed city + beach appeal,citytrip,beach,citytrip|beach|sunny_escape|cultural|romantic,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal city that combines urban sightseeing with easy beach access.,"citytrip; beach; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
pula,Pula,Croatia,EUR,160,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,nature,beach|sunny_escape|nature|active|family_friendly,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
split,Split,Croatia,EUR,155,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,relaxation,beach|sunny_escape|foodie|active,False,True,False,True,False,False,True,False,True,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
zadar,Zadar,Croatia,EUR,155,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,nature,beach|sunny_escape|nature|family_friendly,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
larnaca,Larnaca,Cyprus,EUR,210,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand,beach,relaxation,beach|sunny_escape|winter_holiday|family_friendly,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,spring|summer|autumn|winter,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
paphos,Paphos,Cyprus,EUR,230,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand | high demand,beach,romantic,beach|sunny_escape|winter_holiday|romantic|family_friendly,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,spring|summer|autumn|winter,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; romantic; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
prague,Prague,Czech Republic,EUR,125,budget,synthetic_rule_based_estimate_v1,city demand | value market,citytrip,cultural,citytrip|cultural|romantic,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,spring|summer|autumn,temperate_to_cool,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; budget pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
copenhagen,Copenhagen,Denmark,EUR,135,mid_range,synthetic_rule_based_estimate_v1,city demand | high demand,citytrip,cultural,citytrip|cultural,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,temperate_to_cool,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
